"TIME_ID","DAY_NAME","DAY_NUMBER_IN_WEEK","DAY_NUMBER_IN_MONTH","CALENDAR_WEEK_NUMBER","FISCAL_WEEK_NUMBER","WEEK_ENDING_DAY","WEEK_ENDING_DAY_ID","CALENDAR_MONTH_NUMBER","FISCAL_MONTH_NUMBER","CALENDAR_MONTH_DESC","CALENDAR_MONTH_ID","FISCAL_MONTH_DESC","FISCAL_MONTH_ID","DAYS_IN_CAL_MONTH","DAYS_IN_FIS_MONTH","END_OF_CAL_MONTH","END_OF_FIS_MONTH","CALENDAR_MONTH_NAME","FISCAL_MONTH_NAME","CALENDAR_QUARTER_DESC","CALENDAR_QUARTER_ID","FISCAL_QUARTER_DESC","FISCAL_QUARTER_ID","DAYS_IN_CAL_QUARTER","DAYS_IN_FIS_QUARTER","END_OF_CAL_QUARTER","END_OF_FIS_QUARTER","CALENDAR_QUARTER_NUMBER","FISCAL_QUARTER_NUMBER","CALENDAR_YEAR","CALENDAR_YEAR_ID","FISCAL_YEAR","FISCAL_YEAR_ID","DAYS_IN_CAL_YEAR","DAYS_IN_FIS_YEAR","END_OF_CAL_YEAR","END_OF_FIS_YEAR",
2038-08-25 00:00:00,"水",3,25,34,35,2038-08-29 00:00:00,20380829,8,8,"2038-08",203808,"2038-08",203808,31,31,2038-08-31 00:00:00,2038-08-31 00:00:00,"8月","8月","Q3     ",20383,"Q2     ",20382,92,92,2038-09-30 00:00:00,2038-09-30 00:00:00,3,2,2038,2038,2038,2038,365,365,2038-12-31 00:00:00,2039-03-31 00:00:00,
2038-09-29 00:00:00,"水",3,29,39,40,2038-10-03 00:00:00,20381003,9,9,"2038-09",203809,"2038-09",203809,30,30,2038-09-30 00:00:00,2038-09-30 00:00:00,"9月","9月","Q3     ",20383,"Q2     ",20382,92,92,2038-09-30 00:00:00,2038-09-30 00:00:00,3,2,2038,2038,2038,2038,365,365,2038-12-31 00:00:00,2039-03-31 00:00:00,
2038-10-27 00:00:00,"水",3,27,43,44,2038-10-31 00:00:00,20381031,10,10,"2038-10",203810,"2038-10",203810,31,31,2038-10-31 00:00:00,2038-10-31 00:00:00,"10月","10月","Q4     ",20384,"Q3     ",20383,92,92,2038-12-31 00:00:00,2038-12-31 00:00:00,4,3,2038,2038,2038,2038,365,365,2038-12-31 00:00:00,2039-03-31 00:00:00,
2038-12-29 00:00:00,"水",3,29,52,1,2039-01-02 00:00:00,20390102,12,12,"2038-12",203812,"2038-12",203812,31,31,2038-12-31 00:00:00,2038-12-31 00:00:00,"12月","12月","Q4     ",20384,"Q3     ",20383,92,92,2038-12-31 00:00:00,2038-12-31 00:00:00,4,3,2038,2038,2038,2038,365,365,2038-12-31 00:00:00,2039-03-31 00:00:00,
2034-02-02 00:00:00,"木",4,2,5,6,2034-02-05 00:00:00,20340205,2,2,"2034-02",203402,"2033-02",203402,28,28,2034-02-28 00:00:00,2034-02-28 00:00:00,"2月","2月","Q1     ",20341,"Q4     ",20334,90,90,2034-03-31 00:00:00,2034-03-31 00:00:00,1,4,2034,2034,2033,2033,365,365,2034-12-31 00:00:00,2034-03-31 00:00:00,
2034-02-23 00:00:00,"木",4,23,8,9,2034-02-26 00:00:00,20340226,2,2,"2034-02",203402,"2033-02",203402,28,28,2034-02-28 00:00:00,2034-02-28 00:00:00,"2月","2月","Q1     ",20341,"Q4     ",20334,90,90,2034-03-31 00:00:00,2034-03-31 00:00:00,1,4,2034,2034,2033,2033,365,365,2034-12-31 00:00:00,2034-03-31 00:00:00,
2034-03-30 00:00:00,"木",4,30,13,14,2034-04-02 00:00:00,20340402,3,3,"2034-03",203403,"2033-03",203403,31,31,2034-03-31 00:00:00,2034-03-31 00:00:00,"3月","3月","Q1     ",20341,"Q4     ",20334,90,90,2034-03-31 00:00:00,2034-03-31 00:00:00,1,4,2034,2034,2033,2033,365,365,2034-12-31 00:00:00,2034-03-31 00:00:00,
2034-04-20 00:00:00,"木",4,20,16,17,2034-04-23 00:00:00,20340423,4,4,"2034-04",203404,"2034-04",203404,30,30,2034-04-30 00:00:00,2034-04-30 00:00:00,"4月","4月","Q2     ",20342,"Q1     ",20341,91,91,2034-06-30 00:00:00,2034-06-30 00:00:00,2,1,2034,2034,2034,2034,365,365,2034-12-31 00:00:00,2035-03-31 00:00:00,
2034-06-22 00:00:00,"木",4,22,25,26,2034-06-25 00:00:00,20340625,6,6,"2034-06",203406,"2034-06",203406,30,30,2034-06-30 00:00:00,2034-06-30 00:00:00,"6月","6月","Q2     ",20342,"Q1     ",20341,91,91,2034-06-30 00:00:00,2034-06-30 00:00:00,2,1,2034,2034,2034,2034,365,365,2034-12-31 00:00:00,2035-03-31 00:00:00,
2034-09-14 00:00:00,"木",4,14,37,38,2034-09-17 00:00:00,20340917,9,9,"2034-09",203409,"2034-09",203409,30,30,2034-09-30 00:00:00,2034-09-30 00:00:00,"9月","9月","Q3     ",20343,"Q2     ",20342,92,92,2034-09-30 00:00:00,2034-09-30 00:00:00,3,2,2034,2034,2034,2034,365,365,2034-12-31 00:00:00,2035-03-31 00:00:00,
