"PROD_ID","PROD_NAME","PROD_DESC","PROD_SUBCATEGORY","PROD_SUBCATEGORY_ID","PROD_SUBCATEGORY_DESC","PROD_CATEGORY","PROD_CATEGORY_ID","PROD_CATEGORY_DESC","PROD_WEIGHT_CLASS","PROD_UNIT_OF_MEASURE","PROD_PACK_SIZE","SUPPLIER_ID","PROD_STATUS","PROD_LIST_PRICE","PROD_MIN_PRICE","PROD_TOTAL","PROD_TOTAL_ID","PROD_SRC_ID","PROD_EFF_FROM","PROD_EFF_TO","PROD_VALID",
135,"S27273M 緊急用携帯電話バッテリ","S27274M 緊急用携帯電話バッテリ","カメラ・バッテリ",2042,"カメラ・バッテリ","写真",204,"写真",1,"U","P",1,"STATUS",4999,49.99,"全製品",1,,1998-01-01 00:00:00,,"A",
13,"5メガ・ピクセル デジタルカメラ","5メガ・ピクセル デジタルカメラ","カメラ",2044,"カメラ","写真",204,"写真",1,"U","P",1,"STATUS",899.99,899.99,"全製品",1,,1998-01-01 00:00:00,,"A",
15,"Envoy 256MB - 40GB","Envoy 256MB - 40GB","デスクトップPC",2021,"デスクトップPC","ハードウェア",202,"ハードウェア",1,"U","P",1,"STATUS",999.99,999.99,"全製品",1,,1998-01-01 00:00:00,,"A",
16,"Y Box","Y Box","ゲーム機",2011,"ゲーム機","家電",201,"家電",1,"U","P",1,"STATUS",299.99,299.99,"全製品",1,,1998-01-01 00:00:00,,"A",
18,"Envoy Ambassador","Envoy Ambassador","ノートPC",2022,"ノートPC","ハードウェア",202,"ハードウェア",1,"U","P",1,"STATUS",1299.99,1299.99,"全製品",1,,1998-01-01 00:00:00,,"A",
19,"ノートPCキャリーケース","ノートPCキャリーケース","アクセサリ",2051,"アクセサリ","ソフトウェア・その他",205,"ソフトウェア・その他",1,"U","P",1,"STATUS",55.99,55.99,"全製品",1,,1998-01-01 00:00:00,,"A",
21,"18インチ フラットパネル・モニタ","18インチ フラットパネル・モニタ","モニタ",2035,"モニタ","周辺機器・アクセサリ",203,"周辺機器・アクセサリ",1,"U","P",1,"STATUS",899.99,899.99,"全製品",1,,1998-01-01 00:00:00,,"A",
22,"外付けキーボード","外付けキーボード","アクセサリ",2031,"アクセサリ","周辺機器・アクセサリ",203,"周辺機器・アクセサリ",1,"U","P",1,"STATUS",24.99,24.99,"全製品",1,,1998-01-01 00:00:00,,"A",
23,"外付け106キーボード","外付け106キーボード","アクセサリ",2051,"アクセサリ","ソフトウェア・その他",205,"ソフトウェア・その他",1,"U","P",1,"STATUS",21.99,21.99,"全製品",1,,1998-01-01 00:00:00,,"A",
138,"256MB SDメモリ・カード","256MB SDメモリ・カード","カメラ・メディア",2043,"カメラ・メディア","写真",204,"写真",1,"U","P",1,"STATUS",6999,69.99,"全製品",1,,1998-01-01 00:00:00,,"A",
